wav,wsjtx_msgs,burst_idx,t_start_s,t_end_s,n_frames,centre_idx,f_hat_hz,sf_peak,ab_peak,greedy_peak,sf_line_snr,ab_line_snr,greedy_line_snr,ab_gain_db,greedy_gain_db,n_included,included
260511_111600.wav,VA3TO N4JP R+06,6,7.400,7.500,1,0,+128.95,160,160,160,4.58,4.58,4.58,+0.00,+0.00,1,0
260511_111600.wav,VA3TO N4JP R+06,8,7.690,7.860,2,0,+0.00,121,176,121,4.70,4.30,4.70,+3.30,+0.00,1,0
260511_111600.wav,VA3TO N4JP R+06,11,11.070,11.150,1,0,+127.50,178,178,178,4.42,4.42,4.42,+0.00,+0.00,1,0
260511_111600.wav,VA3TO N4JP R+06,12,11.260,11.510,3,2,+0.00,109,110,109,4.23,2.20,4.23,+0.11,+0.00,1,2
260511_111600.wav,VA3TO N4JP R+06,15,12.970,13.070,1,0,+0.00,139,139,139,4.78,4.78,4.78,+0.00,+0.00,1,0
260511_111600.wav,VA3TO N4JP R+06,16,13.160,13.260,1,0,+0.00,137,137,137,5.95,5.95,5.95,+0.00,+0.00,1,0
260511_111630.wav,VA3TO N4JP R+06,0,8.910,9.030,1,0,+0.00,114,114,114,3.62,3.62,3.62,+0.00,+0.00,1,0
260511_111630.wav,VA3TO N4JP R+06,1,11.130,11.220,1,0,+0.00,108,108,108,3.17,3.17,3.17,+0.00,+0.00,1,0
260511_111800.wav,VA3TO N4JP 73,0,11.170,11.250,1,0,+0.00,102,102,102,2.36,2.36,2.36,+0.00,+0.00,1,0
260511_111800.wav,VA3TO N4JP 73,2,12.730,12.820,1,0,+0.00,113,113,113,3.35,3.35,3.35,+0.00,+0.00,1,0
260511_112030.wav,N1KWF N4JP R+17,0,12.080,12.240,2,0,+0.00,150,80,150,4.42,1.94,4.42,-5.49,+0.00,1,0
260511_112030.wav,N1KWF N4JP R+17,1,12.320,12.450,1,0,+0.00,115,115,115,2.99,2.99,2.99,+0.00,+0.00,1,0
260511_112130.wav,KF2ZQ AD4TJ FM08,0,11.200,11.520,4,1,+0.00,128,233,128,3.39,2.76,3.39,+5.24,+0.00,1,1
260511_131515.wav,CQ WA4Q EM57,0,11.590,11.700,1,0,+82.20,166,166,166,5.83,5.83,5.83,+0.00,+0.00,1,0
