wav,wsjtx_msgs,t_start_s,t_end_s,dur_ms,n_frames,n_syncs,ish_best,f0_hz,peak_mag,fwhm_hz,peak_to_noise
260511_105800.wav,KF2ZQ N4JP FM14,3.030,3.102,72.0,1,2,232,+225.55,188,13.00,1.40
260511_105800.wav,KF2ZQ N4JP FM14,3.170,3.458,288.0,4,2,402,+121.82,577,5.00,3.67
260511_110130.wav,N0AN N1KWF R+02,0.300,0.372,72.0,1,2,116,+103.82,172,12.00,1.36
260511_110145.wav,N0AN N1KWF R+02,1.190,1.262,72.0,1,2,551,-203.13,135,11.00,1.46
260511_110145.wav,N0AN N1KWF R+02,4.820,4.964,144.0,2,2,642,+103.65,275,7.00,1.86
260511_110415.wav,N0AN N1KWF 73,0.960,1.032,72.0,1,2,413,+66.80,140,12.00,1.28
260511_110415.wav,N0AN N1KWF 73,1.270,1.414,144.0,2,2,676,+102.59,315,7.00,1.85
260511_110415.wav,N0AN N1KWF 73,1.570,1.714,144.0,2,2,814,+102.79,229,8.00,1.60
260511_111030.wav,CQ N4JP FM14,11.740,11.884,144.0,2,2,309,+128.79,345,7.00,1.80
260511_111230.wav,VA3TO N4JP R+06,11.340,11.412,72.0,1,2,826,+36.88,221,17.00,1.37
260511_111330.wav,VA3TO N4JP R+06,4.120,4.192,72.0,1,2,529,+149.93,130,11.00,1.23
260511_111400.wav,VA3TO N4JP R+06,1.010,1.082,72.0,1,2,255,+197.70,153,13.00,1.39
260511_111500.wav,VA3TO N4JP R+06,4.290,4.362,72.0,1,2,711,+126.78,163,15.00,1.56
260511_111530.wav,VA3TO N4JP R+06,3.320,3.392,72.0,1,2,431,+126.33,150,14.00,1.45
260511_111530.wav,VA3TO N4JP R+06,3.550,3.622,72.0,1,2,116,+125.69,140,13.00,1.39
260511_111530.wav,VA3TO N4JP R+06,4.380,4.452,72.0,1,2,524,+128.30,180,11.00,1.24
260511_111530.wav,VA3TO N4JP R+06,4.550,4.622,72.0,1,2,359,+126.68,231,15.00,1.59
260511_111530.wav,VA3TO N4JP R+06,4.970,5.042,72.0,1,2,357,+125.95,182,14.00,1.44
260511_111530.wav,VA3TO N4JP R+06,5.680,5.752,72.0,1,2,477,+71.29,134,13.00,1.27
260511_111530.wav,VA3TO N4JP R+06,9.940,10.012,72.0,1,2,479,+127.22,132,12.00,1.32
260511_111530.wav,VA3TO N4JP R+06,10.950,11.022,72.0,1,2,456,+128.27,135,13.00,1.36
260511_111530.wav,VA3TO N4JP R+06,11.790,11.862,72.0,1,2,597,+211.19,129,9.00,1.20
260511_111530.wav,VA3TO N4JP R+06,12.410,12.482,72.0,1,2,216,+127.41,149,15.00,1.49
260511_111530.wav,VA3TO N4JP R+06,12.880,12.952,72.0,1,2,477,+128.21,148,12.00,1.32
260511_111530.wav,VA3TO N4JP R+06,13.070,13.142,72.0,1,2,72,+126.88,157,14.00,1.50
260511_111530.wav,VA3TO N4JP R+06,13.220,14.228,1008.0,14,2,717,+129.01,3083,2.00,18.83
260511_111530.wav,VA3TO N4JP R+06,14.450,14.882,432.0,6,2,645,+128.82,933,4.00,8.13
260511_111600.wav,VA3TO N4JP R+06,4.390,4.462,72.0,1,2,231,+128.55,165,14.00,1.47
260511_111600.wav,VA3TO N4JP R+06,5.380,5.452,72.0,1,2,301,+126.32,183,14.00,1.45
260511_111600.wav,VA3TO N4JP R+06,5.570,5.642,72.0,1,2,352,+127.72,194,9.00,1.42
260511_111600.wav,VA3TO N4JP R+06,5.760,5.832,72.0,1,2,151,+128.72,158,13.00,1.41
260511_111600.wav,VA3TO N4JP R+06,7.400,7.472,72.0,1,2,398,+128.16,161,14.00,1.51
260511_111600.wav,VA3TO N4JP R+06,7.690,7.834,144.0,2,2,375,+128.51,355,7.00,2.08
260511_111600.wav,VA3TO N4JP R+06,11.070,11.142,72.0,1,2,423,+92.83,164,14.00,1.44
260511_111600.wav,VA3TO N4JP R+06,11.260,11.476,216.0,3,2,589,+128.37,493,6.00,3.60
260511_111600.wav,VA3TO N4JP R+06,12.970,13.042,72.0,1,2,87,+126.71,197,15.00,1.52
260511_111600.wav,VA3TO N4JP R+06,13.160,13.232,72.0,1,2,400,+127.72,173,13.00,1.40
260511_111630.wav,VA3TO N4JP R+06,8.910,8.982,72.0,1,2,807,+125.23,135,12.00,1.32
260511_111630.wav,VA3TO N4JP R+06,11.130,11.202,72.0,1,2,692,+110.41,126,12.00,1.27
260511_111800.wav,VA3TO N4JP 73,11.170,11.242,72.0,1,2,331,+127.25,126,12.00,1.28
260511_111800.wav,VA3TO N4JP 73,12.730,12.802,72.0,1,2,617,+127.59,143,15.00,1.41
260511_112030.wav,N1KWF N4JP R+17,12.080,12.224,144.0,2,2,115,+118.78,335,7.00,1.92
260511_112030.wav,N1KWF N4JP R+17,12.320,12.392,72.0,1,2,818,+121.99,185,14.00,1.50
260511_112130.wav,KF2ZQ AD4TJ FM08,11.200,11.488,288.0,4,2,768,+53.30,590,5.00,3.75
260511_131515.wav,CQ WA4Q EM57,11.590,11.662,72.0,1,2,523,+46.69,151,13.00,1.32
